 ID_REGIAO ; DISTRITO ; População total ; População preta e parda ; População feminina ; População Infantil ; População jovem ; População em situação de rua ; Favelas ; Habitações  de Interesse Social (HIS)  Licenciadas ; Habitações  de Interesse  Social (HIS) produzidas  por SEHAB ; Habitações  de Interesse  Social (HIS)  Licenciadas (até 3 salários mínimos) ; Habitações  de Interesse  Social (HIS)  Licenciadas (entre 3 a 6 salários mínimos) ; Ocorrências de trânsito ; Mortes no trânsito  ; Tempo médio de  deslocamento por transporte público ; Velocidade média ônibus (km/h) ; Acesso a transporte de massa ; Acesso a infraestrutura cicloviária ; Acesso internet - Mapeamento das antenas (População distrito) ; Acesso internet - Mapeamento das antenas (área/km²) ; Oferta de emprego formal ; Remuneração média mensal do emprego formal ; Micro Empreendedores Individuais  (MEIs) ; Desigualdade salarial  (emprego  formal) ; Gravidez na adolescência ; Idade média ao morrer  ; Mortalidade materna ; Mortalidade infantil ; Tempo médio para consultas na Atenção Básica ; Mortalidade por Covid-19 ; Tempo de atendimento para vaga em creche  ; Matrículas no Ensino Básico em escolas públicas ; Distorção Idade-Série no Ensino Fundamental da rede municipal ; Abandono escolar no Ensino Fundamental da rede municipal ; Ideb  (Escolas  públicas -  anos iniciais) ; Ideb  (Escolas  públicas -  anos finais) ; Adequação  da formação docente ; Esforço  docente ; Centros culturais, casas e espaços de cultura  ; Equipamentos públicos de cultura ; Cinemas ; Espaços culturais independentes ; Equipamentos públicos de esporte ; Quadras esportivas nas escolas públicas ; Violência racial ; Violência contra a mulher ; Violência LGBTQIAP+ ; Deslocamentos médio para  denúncias de  violência  contra mulher ; Feminicídio ; Mortes por intervenção policial ; Homicídios ; Homicídios de jovens ; Agressões por intervenção policial ; Emissão de poluentes  atmosféricos por área  (kg/km²/dia) 
 277.00 ; Grajaú ; 392.73 ; 56.80 ; 51.40 ; 10.90 ; 47.30 ; 157.00 ; 13.50 ; 3,830.00 ; 3,830.00 ; -   ; -   ; 4.70 ; 3.80 ; 64.00 ; 14.90 ; 3.00 ; 2.30 ; 1.50 ; 0.70 ; 0.50 ; 2,260.00 ; 2.77 ; 0.80 ; 10.70 ; 60.40 ; 64.40 ; 12.30 ; 12.00 ; 24.80 ; 6.00 ; 93.60 ; 8,05 ; 0,01 ; 5.80 ; 5.20 ; 4,1 ; 5,0 ; 0.05 ; 1.80 ; 0.03 ; 0.50 ; 0.30 ; 40,7 ; 0.28 ; 215.60 ; 1.80 ; 14.60 ; 1.20 ; 1.60 ; 7.60 ; 13.00 ; 1.10 ; 0.06 
 352.00 ; Jardim Ângela ; 341.88 ; 60.10 ; 51.40 ; 10.80 ; 47.80 ; 25.00 ; 19.40 ; 2,150.00 ; 2,135.00 ; -   ; 100.00 ; 4.20 ; 4.70 ; 62.00 ; 15.30 ; -   ; -   ; 1.40 ; 1.30 ; 0.50 ; 2,151.50 ; 2.47 ; 0.89 ; 12.10 ; 59.80 ; 66.30 ; 11.00 ; 6.00 ; 22.50 ; 7.00 ; 99.90 ; 7,82 ; 0,03 ; 5.40 ; 5.10 ; 6,4 ; 7,5 ; 0.03 ; 1.80 ; 0.03 ; -   ; 0.20 ; 45,1 ; 0.56 ; 194.90 ; 1.20 ; 9.80 ; 1.40 ; 0.40 ; 9.10 ; 15.10 ; 0.50 ; 0.17 
 258.00 ; Capão Redondo ; 298.61 ; 53.90 ; 52.20 ; 10.40 ; 44.90 ; 152.00 ; 21.10 ; 5,942.00 ; 3,625.00 ; 13.00 ; 50.60 ; 6.50 ; 6.70 ; 59.00 ; 13.90 ; 10.20 ; 11.40 ; 1.90 ; 4.10 ; 0.50 ; 1,868.70 ; 2.31 ; 0.78 ; 9.80 ; 62.80 ; 126.40 ; 9.80 ; 7.00 ; 26.60 ; 16.00 ; 97.90 ; 9,25 ; 0,12 ; 5.70 ; 5.20 ; 6,9 ; 6,4 ; 0.03 ; 1.30 ; 0.03 ; -   ; 0.20 ; 54,7 ; 2.01 ; 237.40 ; 5.40 ; 7.10 ; 0.50 ; 1.80 ; 10.40 ; 23.80 ; 0.30 ; 0.37 
 253.00 ; Cidade Ademar ; 287.16 ; 50.00 ; 52.40 ; 10.10 ; 43.00 ; 154.00 ; 16.20 ; 1,047.00 ; 262.00 ; 14.00 ; 73.80 ; 5.60 ; 5.60 ; 44.00 ; 15.20 ; -   ; 1.10 ; 2.30 ; 5.30 ; 1.10 ; 3,024.40 ; 2.24 ; 0.75 ; 10.50 ; 65.40 ; 50.20 ; 10.70 ; 24.00 ; 25.60 ; 15.00 ; 94.80 ; 9,88 ; 0,02 ; 5.90 ; não aplicável ; 5,4 ; 5,2 ; -   ; -   ; -   ; 0.30 ; 0.10 ; 42,9 ; 0.84 ; 214.50 ; 1.40 ; 10.50 ; 0.90 ; 1.80 ; 7.30 ; 15.30 ; 0.10 ; 0.39 
 272.00 ; Sacomã ; 264.69 ; 32.00 ; 52.30 ; 8.40 ; 38.60 ; 50.00 ; 23.70 ; 8,505.00 ; 5,869.00 ; 41.80 ; 40.30 ; 3.40 ; 2.70 ; 45.00 ; 14.60 ; 2.40 ; 23.60 ; 2.70 ; 5.00 ; 1.50 ; 3,408.30 ; 2.18 ; 0.93 ; 7.80 ; 67.90 ; 77.60 ; 12.10 ; 31.00 ; 24.70 ; 6.00 ; 97.40 ; 9,16 ; 0,02 ; 6.10 ; 5.40 ; 6,8 ; 3,5 ; -   ; 1.90 ; 0.04 ; -   ; 0.50 ; 55,3 ; 0.72 ; 209.70 ; 1.90 ; 10.60 ; 0.40 ; 2.50 ; 9.40 ; 24.90 ; 0.30 ; 0.16 
 305.00 ; Sapopemba ; 290.41 ; 41.70 ; 51.90 ; 9.40 ; 42.20 ; 44.00 ; 19.00 ; 10,098.00 ; 8,897.00 ; 29.80 ; 17.40 ; 6.40 ; 4.50 ; 50.00 ; 16.10 ; 34.70 ; 44.90 ; 1.50 ; 3.20 ; 1.00 ; 2,818.50 ; 2.16 ; 1.09 ; 9.90 ; 65.40 ; 81.30 ; 9.60 ; 26.00 ; 29.30 ; 7.00 ; 99.50 ; 6,97 ; 0,00 ; 5.70 ; 5.20 ; 5,9 ; 2,9 ; -   ; 1.40 ; -   ; 0.30 ; 0.20 ; 54,5 ; 1.07 ; 212.30 ; 1.00 ; 9.80 ; 0.60 ; 1.80 ; 12.10 ; 26.60 ; 0.10 ; 0.33 
 353.00 ; Jardim São Luís ; 295.72 ; 51.30 ; 51.80 ; 9.90 ; 43.30 ; 118.00 ; 20.60 ; 4,128.00 ; 2,728.00 ; 52.90 ; 30.00 ; 4.90 ; 5.10 ; 46.00 ; 15.10 ; 6.30 ; 17.20 ; 2.40 ; 2.80 ; 1.60 ; 3,545.90 ; 2.08 ; 0.81 ; 9.20 ; 63.50 ; 80.50 ; 12.80 ; 8.00 ; 26.30 ; 8.00 ; 97.20 ; 8,98 ; 0,02 ; 5.60 ; 5.10 ; 5,8 ; 6,9 ; 0.07 ; 1.40 ; -   ; 0.30 ; 0.30 ; 55,0 ; 0.27 ; 189.10 ; 1.40 ; 7.00 ; 0.50 ; 1.50 ; 11.20 ; 16.00 ; 0.70 ; 0.25 
 259.00 ; Campo Limpo ; 230.28 ; 47.90 ; 52.10 ; 9.70 ; 43.00 ; 82.00 ; 21.70 ; 2,001.00 ; 773.00 ; 9.50 ; 56.20 ; 5.20 ; 7.40 ; 49.00 ; 13.90 ; 12.00 ; 37.00 ; 2.20 ; 4.00 ; 1.00 ; 2,229.10 ; 2.07 ; 0.74 ; 7.70 ; 63.40 ; 14.90 ; 7.00 ; 5.00 ; 25.00 ; 15.00 ; 91.50 ; 9,05 ; 0,14 ; 5.80 ; 5.20 ; 5,8 ; 5,1 ; 0.04 ; 3.00 ; -   ; 1.30 ; 0.60 ; 57,8 ; 1.04 ; 237.60 ; 6.90 ; 6.30 ; 0.70 ; 2.50 ; 10.90 ; 22.60 ; 0.30 ; 0.31 
 312.00 ; Brasilândia ; 283.66 ; 50.60 ; 52.10 ; 11.40 ; 47.20 ; 64.00 ; 25.10 ; 2,287.00 ; 852.00 ; 83.60 ; 0.40 ; 4.60 ; 4.60 ; 50.00 ; 15.60 ; -   ; 25.10 ; 1.90 ; 2.50 ; 0.50 ; 1,693.80 ; 2.07 ; 0.76 ; 12.50 ; 62.80 ; 69.40 ; 11.40 ; 18.00 ; 26.50 ; 9.00 ; 99.80 ; 8,04 ; 0,01 ; 5.40 ; 5.00 ; 6,6 ; 4,6 ; -   ; 1.10 ; 0.04 ; -   ; 0.20 ; 58,7 ; 0.99 ; 231.80 ; 3.90 ; 7.50 ; 2.00 ; 1.20 ; 8.10 ; 14.20 ; 0.60 ; 0.19 
 225.00 ; Itaquera ; 212.22 ; 45.70 ; 52.20 ; 9.60 ; 43.00 ; 308.00 ; 6.00 ; 7,929.00 ; 4,996.00 ; 13.80 ; 84.80 ; 7.70 ; 9.50 ; 51.00 ; 14.40 ; 11.20 ; 20.70 ; 3.90 ; 5.60 ; 1.40 ; 5,392.80 ; 1.92 ; 0.72 ; 8.10 ; 65.30 ; 66.00 ; 9.80 ; 33.00 ; 28.60 ; 17.00 ; 89.50 ; 7,38 ; 0,00 ; 6.10 ; 5.20 ; 5,0 ; 4,0 ; -   ; 1.40 ; 0.05 ; -   ; 0.10 ; 60,6 ; 1.13 ; 334.70 ; 8.00 ; 4.60 ; 0.60 ; 2.20 ; 13.20 ; 32.10 ; 0.90 ; 0.57 
 255.00 ; Jabaquara ; 229.69 ; 34.40 ; 53.00 ; 8.50 ; 37.60 ; 345.00 ; 16.40 ; 1,791.00 ; 794.00 ; 32.40 ; 43.70 ; 9.20 ; 8.30 ; 37.00 ; 14.30 ; 16.60 ; 37.10 ; 5.00 ; 8.20 ; 3.80 ; 5,123.10 ; 1.88 ; 0.63 ; 7.90 ; 70.20 ; 56.90 ; 9.70 ; 19.00 ; 22.80 ; 17.00 ; 90.60 ; 7,55 ; 0,04 ; 5.90 ; 5.10 ; 6,8 ; 4,0 ; 0.04 ; 3.00 ; 0.04 ; 1.70 ; 0.20 ; 45,8 ; 0.74 ; 242.20 ; 3.90 ; 8.70 ; 0.10 ; 1.70 ; 7.40 ; 21.60 ; 0.10 ; 0.35 
 243.00 ; Itaim Paulista ; 236.10 ; 54.80 ; 51.80 ; 10.30 ; 46.20 ; 149.00 ; 6.10 ; 4,083.00 ; 2,200.00 ; 35.20 ; 35.90 ; 3.90 ; 6.00 ; 63.00 ; 15.60 ; 6.40 ; -   ; 1.50 ; 3.00 ; 0.90 ; 2,160.80 ; 1.66 ; 0.90 ; 10.50 ; 64.20 ; 59.90 ; 12.80 ; 20.00 ; 26.10 ; 10.00 ; 98.80 ; 5,87 ; 0,00 ; 5.80 ; 5.30 ; 5,9 ; 5,9 ; 0.08 ; 1.70 ; 0.04 ; 0.40 ; 0.20 ; 43,6 ; 0.51 ; 233.20 ; 5.90 ; 8.70 ; 0.50 ; 1.40 ; 5.90 ; 14.90 ; 0.60 ; 0.30 
 209.00 ; Jaraguá ; 214.80 ; 47.30 ; 51.80 ; 10.20 ; 45.40 ; 30.00 ; 13.60 ; 12,602.00 ; 8,482.00 ; 3.20 ; 55.10 ; 6.00 ; 8.90 ; 57.00 ; 17.20 ; 13.50 ; 13.80 ; 2.00 ; 1.50 ; 0.80 ; 3,284.70 ; 1.60 ; 0.58 ; 11.80 ; 62.10 ; 103.60 ; 12.10 ; 17.00 ; 25.00 ; 23.00 ; 96.40 ; 8,23 ; 0,02 ; 5.70 ; 5.10 ; 5,8 ; 4,6 ; -   ; 1.90 ; -   ; -   ; 0.20 ; 52,7 ; 0.23 ; 251.80 ; 3.70 ; 5.10 ; 0.40 ; 1.70 ; 6.50 ; 15.10 ; 0.20 ; 0.15 
 278.00 ; Cidade Dutra ; 203.79 ; 45.50 ; 52.20 ; 9.40 ; 41.70 ; 166.00 ; 8.70 ; 2,163.00 ; 2,003.00 ; -   ; 100.00 ; 9.30 ; 9.80 ; 46.00 ; 16.00 ; 27.70 ; 62.00 ; 3.10 ; 2.30 ; 2.10 ; 2,329.00 ; 1.59 ; 0.76 ; 9.50 ; 66.10 ; 118.00 ; 9.90 ; 16.00 ; 23.00 ; 13.00 ; 95.70 ; 8,21 ; 0,05 ; 6.20 ; 5.40 ; 5,5 ; 5,2 ; -   ; 2.00 ; -   ; -   ; 0.80 ; 53,8 ; 0.59 ; 224.80 ; 4.90 ; 14.10 ; 0.60 ; 1.10 ; 5.90 ; 6.40 ; 0.20 ; 0.22 
 208.00 ; Pirituba ; 171.35 ; 31.30 ; 52.40 ; 8.60 ; 38.20 ; 38.00 ; 6.80 ; 3,646.00 ; 292.00 ; 4.70 ; 83.90 ; 7.50 ; 4.70 ; 46.00 ; 17.40 ; 21.20 ; 12.60 ; 3.60 ; 3.60 ; 3.30 ; 4,455.20 ; 1.53 ; 0.71 ; 7.20 ; 67.90 ; 50.30 ; 11.40 ; 21.00 ; 26.00 ; 13.00 ; 93.90 ; 10,16 ; 0,12 ; 5.90 ; 5.20 ; 5,9 ; 3,1 ; 0.06 ; 0.60 ; -   ; 0.60 ; 0.40 ; 72,0 ; 1.52 ; 290.50 ; 4.10 ; 2.50 ; 1.00 ; 1.40 ; 7.60 ; 5.60 ; 0.40 ; 0.25 
 314.00 ; Tremembé ; 225.51 ; 39.70 ; 51.80 ; 10.00 ; 43.50 ; 61.00 ; 10.70 ; 1,434.00 ; 732.00 ; -   ; 56.00 ; 7.30 ; 4.00 ; 46.00 ; 15.90 ; -   ; -   ; 1.70 ; 0.70 ; 0.80 ; 2,690.60 ; 1.49 ; 0.62 ; 10.30 ; 66.10 ; 95.90 ; 9.70 ; 22.00 ; 26.90 ; 11.00 ; 98.00 ; 8,04 ; 0,00 ; 5.90 ; 5.40 ; 6,3 ; 5,3 ; 0.04 ; 0.40 ; 0.04 ; -   ; 0.10 ; 52,6 ; 0.35 ; 205.10 ; 4.40 ; 22.20 ; 0.40 ; 2.50 ; 13.30 ; 28.50 ; 1.30 ; 0.07 
 311.00 ; Freguesia do Ó ; 139.97 ; 29.90 ; 52.90 ; 8.50 ; 36.90 ; 101.00 ; 4.00 ; 1,171.00 ; 300.00 ; -   ; 81.30 ; 10.20 ; 5.00 ; 42.00 ; 15.00 ; -   ; 70.80 ; 3.20 ; 4.10 ; 1.70 ; 2,412.40 ; 1.45 ; 0.96 ; 6.90 ; 69.60 ; 191.70 ; 10.50 ; 14.00 ; 27.10 ; 17.00 ; 91.80 ; 7,83 ; 0,00 ; 5.90 ; 5.40 ; 6,2 ; 3,4 ; 0.14 ; 2.90 ; -   ; 0.70 ; 0.90 ; 66,7 ; 1.86 ; 289.60 ; 2.90 ; 2.20 ; 0.90 ; 2.10 ; 3.60 ; 7.00 ; 0.20 ; 0.29 
 217.00 ; Cidade Tiradentes ; 237.87 ; 56.10 ; 52.20 ; 10.60 ; 48.50 ; 134.00 ; 4.10 ; 26,072.00 ; 22,115.00 ; 6.30 ; 1.60 ; 4.10 ; 3.40 ; 69.00 ; 15.00 ; -   ; 17.90 ; 1.10 ; 1.70 ; 0.30 ; 2,654.40 ; 1.41 ; 0.90 ; 13.30 ; 59.40 ; 73.10 ; 11.60 ; 19.00 ; 27.20 ; 7.00 ; 99.90 ; 7,45 ; 0,01 ; 5.40 ; 4.90 ; 5,9 ; 4,8 ; 0.21 ; 5.00 ; 0.04 ; -   ; 0.20 ; 61,6 ; 0.71 ; 208.80 ; 2.50 ; 8.50 ; 0.80 ; 3.00 ; 16.00 ; 36.30 ; -   ; 0.29 
 220.00 ; São Mateus ; 155.73 ; 37.50 ; 51.70 ; 9.40 ; 41.60 ; 267.00 ; 6.10 ; 4,261.00 ; 652.00 ; 55.00 ; 32.40 ; 10.30 ; 7.70 ; 49.00 ; 15.50 ; 9.30 ; 47.70 ; 3.00 ; 3.70 ; 1.90 ; 2,528.10 ; 1.40 ; 0.76 ; 7.70 ; 65.60 ; 114.50 ; 10.30 ; 34.00 ; 26.70 ; 8.00 ; 99.30 ; 5,59 ; 0,11 ; 5.70 ; 5.10 ; 6,2 ; 3,9 ; 0.06 ; 0.60 ; -   ; -   ; 0.40 ; 52,0 ; 1.35 ; 308.40 ; 9.60 ; 6.50 ; 1.90 ; 2.80 ; 9.60 ; 16.80 ; 0.20 ; 0.38 
 250.00 ; Cachoeirinha ; 146.87 ; 43.30 ; 52.00 ; 10.40 ; 44.00 ; 126.00 ; 20.00 ; 1,349.00 ; 580.00 ; -   ; 56.20 ; 7.40 ; 3.40 ; 46.00 ; 15.20 ; -   ; 35.00 ; 2.30 ; 2.40 ; 1.00 ; 2,503.70 ; 1.38 ; 1.02 ; 9.30 ; 63.70 ; 63.70 ; 12.40 ; 26.00 ; 26.90 ; 9.00 ; 99.70 ; 6,72 ; 0,02 ; 5.70 ; 5.30 ; 8,9 ; 5,1 ; 0.07 ; 2.00 ; -   ; 1.40 ; 0.10 ; 80,0 ; 0.48 ; 212.10 ; 4.10 ; 5.70 ; 0.40 ; 1.60 ; 10.90 ; 23.30 ; 0.20 ; 0.21 
 204.00 ; Lajeado ; 175.63 ; 56.20 ; 51.40 ; 10.90 ; 47.80 ; 192.00 ; 7.10 ; 6,328.00 ; 2,927.00 ; 46.10 ; 10.90 ; 4.10 ; 1.70 ; 59.00 ; 13.20 ; 6.30 ; -   ; 1.30 ; 2.60 ; 1.80 ; 4,594.20 ; 1.31 ; 0.76 ; 10.30 ; 61.50 ; 54.30 ; 11.80 ; 19.00 ; 25.60 ; 5.00 ; 99.50 ; 5,44 ; 0,00 ; 5.70 ; 5.00 ; 5,4 ; 4,8 ; 0.06 ; 3.40 ; -   ; -   ; 0.20 ; 54,5 ; 0.28 ; 237.10 ; 3.40 ; 6.70 ; 0.40 ; 2.30 ; 13.10 ; 32.80 ; 0.20 ; 0.25 
 242.00 ; Vila Curuçá ; 154.16 ; 51.20 ; 51.70 ; 9.60 ; 44.70 ; 37.00 ; 6.70 ; 2,679.00 ; 1,162.00 ; 63.60 ; 4.80 ; 3.80 ; 1.30 ; 58.00 ; 16.30 ; 5.50 ; 11.50 ; 2.10 ; 3.50 ; 0.60 ; 2,529.00 ; 1.28 ; 0.88 ; 9.20 ; 64.60 ; 47.30 ; 8.40 ; 17.00 ; 24.00 ; 17.00 ; 99.80 ; 8,27 ; 0,01 ; 5.90 ; 5.20 ; 5,6 ; 4,0 ; -   ; 1.90 ; -   ; 0.60 ; 0.50 ; 48,5 ; 0.45 ; 247.60 ; 5.80 ; 7.90 ; 0.40 ; 2.20 ; 3.90 ; -   ; 0.70 ; 0.32 
 226.00 ; Cidade Líder ; 135.92 ; 38.80 ; 51.70 ; 9.20 ; 41.60 ; 20.00 ; 6.60 ; 3,322.00 ; 300.00 ; 45.50 ; 52.80 ; 6.00 ; 3.70 ; 51.00 ; 15.90 ; -   ; 10.40 ; 3.00 ; 4.00 ; 0.90 ; 1,851.30 ; 1.26 ; 0.79 ; 7.90 ; 64.60 ; 26.40 ; 12.20 ; 39.00 ; 27.80 ; 8.00 ; 91.10 ; 7,70 ; 0,04 ; 5.90 ; 5.60 ; 5,4 ; 2,5 ; -   ; 2.20 ; 0.07 ; -   ; 0.50 ; 41,7 ; 0.59 ; 264.60 ; 2.20 ; 2.40 ; -   ; 1.00 ; 5.10 ; 16.10 ; 0.50 ; 0.27 
 252.00 ; Pedreira ; 162.44 ; 52.40 ; 51.60 ; 9.50 ; 44.40 ; 39.00 ; 18.10 ; 418.00 ; 406.00 ; -   ; 100.00 ; 5.30 ; 3.10 ; 55.00 ; 14.10 ; -   ; 2.20 ; 2.00 ; 1.80 ; 1.00 ; 2,153.50 ; 1.26 ; 0.76 ; 11.20 ; 62.10 ; 67.80 ; 10.40 ; 17.00 ; 25.30 ; 9.00 ; 99.60 ; 6,68 ; 0,01 ; 5.50 ; não aplicável ; 6,9 ; 4,9 ; -   ; 0.60 ; -   ; -   ; 0.20 ; 58,8 ; 0.49 ; 214.30 ; 0.60 ; 9.60 ; 0.60 ; 2.30 ; 7.40 ; 17.50 ; 0.20 ; 0.16 
 200.00 ; Vila Medeiros ; 123.13 ; 34.00 ; 53.00 ; 9.00 ; 38.50 ; 50.00 ; 3.00 ; 587.00 ; -   ; 3.40 ; 96.60 ; 8.20 ; 2.40 ; 40.00 ; 15.50 ; -   ; 22.90 ; 2.40 ; 3.70 ; 1.60 ; 2,473.10 ; 1.25 ; 0.80 ; 9.60 ; 69.30 ; 115.10 ; 5.30 ; 15.00 ; 27.80 ; 8.00 ; 95.30 ; 11,20 ; 0,06 ; 6.10 ; 5.50 ; 5,8 ; 1,0 ; -   ; -   ; -   ; -   ; 0.20 ; 64,3 ; 0.41 ; 245.20 ; 5.70 ; 7.60 ; 0.50 ; 1.10 ; 8.90 ; 11.60 ; 0.30 ; 0.34 
 229.00 ; Penha ; 129.07 ; 23.90 ; 53.30 ; 7.80 ; 35.00 ; 368.00 ; 6.10 ; 3,498.00 ; 826.00 ; 0.70 ; 94.70 ; 12.30 ; 9.30 ; 37.00 ; 18.10 ; 22.70 ; 58.10 ; 4.70 ; 5.20 ; 2.60 ; 2,338.10 ; 1.22 ; 0.87 ; 7.30 ; 71.30 ; 65.00 ; 12.00 ; 29.00 ; 25.70 ; 7.00 ; 69.40 ; 9,20 ; 0,00 ; 6.40 ; 5.60 ; 3,1 ; 1,9 ; 0.08 ; 3.90 ; -   ; 0.80 ; 0.20 ; 50,0 ; 1.70 ; 251.00 ; 3.10 ; 4.50 ; 0.50 ; 2.30 ; 1.50 ; -   ; 0.50 ; 0.44 
 230.00 ; Cangaíba ; 138.29 ; 38.20 ; 52.50 ; 9.40 ; 40.40 ; 10.00 ; 10.80 ; 1,802.00 ; -   ; 62.50 ; 31.70 ; 8.30 ; 6.50 ; 48.00 ; 17.80 ; 5.80 ; 26.70 ; 2.90 ; 2.40 ; 1.20 ; 2,214.70 ; 1.22 ; 0.84 ; 8.40 ; 66.20 ; 97.30 ; 9.10 ; 23.00 ; 27.70 ; 10.00 ; 98.90 ; 6,66 ; 0,00 ; 6.30 ; 5.50 ; 5,1 ; 4,0 ; -   ; 3.60 ; 0.07 ; 0.70 ; 0.20 ; 50,0 ; 0.80 ; 275.80 ; 3.60 ; 5.60 ; 0.70 ; 1.70 ; 7.20 ; 19.60 ; 1.70 ; 0.17 
 306.00 ; São Lucas ; 142.88 ; 24.40 ; 52.60 ; 7.50 ; 35.50 ; 36.00 ; 4.30 ; 2,385.00 ; 313.00 ; 9.20 ; 25.70 ; 7.50 ; 4.90 ; 41.00 ; 16.70 ; 39.00 ; 13.30 ; 3.40 ; 5.10 ; 1.30 ; 2,285.50 ; 1.21 ; 0.78 ; 6.20 ; 70.40 ; 65.10 ; 12.50 ; 23.00 ; 28.80 ; 10.00 ; 98.80 ; 8,54 ; 0,04 ; 5.70 ; 5.40 ; 6,0 ; 1,9 ; -   ; 0.70 ; -   ; 0.70 ; 0.70 ; 66,7 ; 0.42 ; 183.90 ; 2.80 ; 9.10 ; -   ; 1.20 ; 4.90 ; 14.10 ; 0.20 ; 0.27 
 257.00 ; Vila Andrade ; 166.00 ; 41.40 ; 51.10 ; 9.00 ; 43.50 ; 114.00 ; 32.70 ; 3,697.00 ; 1,576.00 ; 41.90 ; 30.90 ; 6.20 ; 6.70 ; 39.00 ; 13.70 ; 8.80 ; 59.20 ; 5.70 ; 9.20 ; 2.00 ; 2,948.70 ; 1.11 ; 0.93 ; 8.40 ; 66.20 ; 42.40 ; 5.50 ; 7.00 ; 23.50 ; 10.00 ; 80.90 ; 11,39 ; 0,15 ; 5.40 ; não aplicável ; 4,6 ; 6,3 ; -   ; 0.60 ; -   ; -   ; 0.10 ; 61,5 ; 0.36 ; 125.40 ; 6.00 ; 4.30 ; 0.40 ; 3.90 ; 10.80 ; 27.90 ; -   ; 0.29 
