 ID_REGIAO ; DISTRITO ; População total ; População preta e parda ; População feminina ; População Infantil ; População jovem ; População em situação de rua ; Favelas ; Habitações  de Interesse Social (HIS)  Licenciadas ; Habitações  de Interesse  Social (HIS) produzidas  por SEHAB ; Habitações  de Interesse  Social (HIS)  Licenciadas (até 3 salários mínimos) ; Habitações  de Interesse  Social (HIS)  Licenciadas (entre 3 a 6 salários mínimos) ; Ocorrências de trânsito ; Mortes no trânsito  ; Tempo médio de  deslocamento por transporte público ; Velocidade média ônibus (km/h) ; Acesso a transporte de massa ; Acesso a infraestrutura cicloviária ; Acesso internet - Mapeamento das antenas (População distrito) ; Acesso internet - Mapeamento das antenas (área/km²) ; Oferta de emprego formal ; Remuneração média mensal do emprego formal ; Micro Empreendedores Individuais  (MEIs) ; Desigualdade salarial  (emprego  formal) ; Gravidez na adolescência ; Idade média ao morrer  ; Mortalidade materna ; Mortalidade infantil ; Tempo médio para consultas na Atenção Básica ; Mortalidade por Covid-19 ; Tempo de atendimento para vaga em creche  ; Matrículas no Ensino Básico em escolas públicas ; Distorção Idade-Série no Ensino Fundamental da rede municipal ; Abandono escolar no Ensino Fundamental da rede municipal ; Ideb  (Escolas  públicas -  anos iniciais) ; Ideb  (Escolas  públicas -  anos finais) ; Adequação  da formação docente ; Esforço  docente ; Centros culturais, casas e espaços de cultura  ; Equipamentos públicos de cultura ; Cinemas ; Espaços culturais independentes ; Equipamentos públicos de esporte ; Quadras esportivas nas escolas públicas ; Violência racial ; Violência contra a mulher ; Violência LGBTQIAP+ ; Deslocamentos médio para  denúncias de  violência  contra mulher ; Feminicídio ; Mortes por intervenção policial ; Homicídios ; Homicídios de jovens ; Agressões por intervenção policial ; Emissão de poluentes  atmosféricos por área  (kg/km²/dia) 
 234.00 ; Rio Pequeno ; 124.03 ; 32.40 ; 52.00 ; 10.50 ; 40.40 ; 13.00 ; 20.40 ; 1,984.00 ; 1,640.00 ; -   ; 5.80 ; 7.40 ; 4.90 ; 39.00 ; 18.10 ; -   ; 76.80 ; 3.40 ; 4.40 ; 3.70 ; 2,408.70 ; 1.10 ; 0.89 ; 7.90 ; 69.20 ; 30.00 ; 6.30 ; 6.00 ; 22.80 ; 5.00 ; 97.70 ; 11,44 ; 0,08 ; 5.40 ; 4.90 ; 7,2 ; 4,1 ; -   ; 1.60 ; -   ; -   ; 0.50 ; 50,0 ; -   ; 213.30 ; 7.30 ; 2.90 ; -   ; 4.30 ; 8.10 ; 15.90 ; -   ; 0.15 
 284.00 ; Vila Jacuí ; 146.28 ; 49.00 ; 51.70 ; 8.60 ; 43.00 ; 49.00 ; 4.70 ; 2,291.00 ; 2,080.00 ; -   ; 96.20 ; 9.10 ; 13.70 ; 59.00 ; 16.80 ; -   ; 61.40 ; 1.60 ; 2.90 ; 1.00 ; 2,945.00 ; 1.08 ; 0.82 ; 10.00 ; 64.40 ; 77.60 ; 11.50 ; 18.00 ; 28.10 ; 14.00 ; 97.90 ; 5,53 ; 0,08 ; 6.00 ; 5.30 ; 6,3 ; 3,9 ; -   ; 1.40 ; -   ; 0.70 ; 0.20 ; 61,5 ; -   ; 221.80 ; 1.40 ; 3.90 ; 0.20 ; 1.40 ; 7.50 ; 13.70 ; 0.70 ; 0.25 
 201.00 ; Vila Maria ; 114.08 ; 34.00 ; 52.10 ; 9.90 ; 41.00 ; 428.00 ; 13.00 ; 2,363.00 ; 2,008.00 ; 2.30 ; 97.80 ; 14.60 ; 13.20 ; 38.00 ; 16.70 ; -   ; 62.60 ; 5.80 ; 5.60 ; 7.60 ; 2,849.90 ; 1.05 ; 0.93 ; 9.30 ; 67.90 ; 156.10 ; 7.40 ; 16.00 ; 27.90 ; 13.00 ; 82.60 ; 8,97 ; 0,02 ; 5.90 ; 5.10 ; 4,7 ; 2,2 ; -   ; 0.90 ; -   ; 0.90 ; 0.30 ; 58,3 ; 3.07 ; 225.10 ; 5.30 ; 16.20 ; 1.50 ; 5.60 ; 6.10 ; 12.10 ; 1.50 ; 0.27 
 233.00 ; Vila Sônia ; 122.46 ; 27.90 ; 52.40 ; 9.00 ; 38.10 ; 7.00 ; 22.70 ; 1,132.00 ; 280.00 ; 63.60 ; 35.20 ; 7.20 ; 4.10 ; 37.00 ; 17.10 ; 2.20 ; 30.70 ; 5.10 ; 6.20 ; 3.50 ; 2,510.00 ; 1.03 ; 0.95 ; 5.30 ; 70.80 ; 70.80 ; 11.40 ; 4.00 ; 21.60 ; 36.00 ; 93.80 ; 6,79 ; 0,40 ; 5.80 ; 5.10 ; 5,3 ; 3,0 ; -   ; -   ; -   ; 1.60 ; 0.40 ; 38,5 ; 3.59 ; 175.00 ; 3.30 ; 4.00 ; 0.50 ; 1.90 ; 6.50 ; 8.20 ; 0.80 ; 0.38 
 286.00 ; Jardim Helena ; 136.05 ; 54.70 ; 51.30 ; 11.30 ; 47.20 ; 36.00 ; 12.30 ; 1,541.00 ; 1,337.00 ; -   ; 90.70 ; 3.80 ; 0.70 ; 59.00 ; 13.30 ; 26.60 ; 49.60 ; 0.90 ; 1.30 ; 0.90 ; 4,970.60 ; 1.03 ; 1.14 ; 11.80 ; 62.90 ; 44.60 ; 10.70 ; 25.00 ; 24.70 ; 14.00 ; 98.60 ; 6,54 ; 0,04 ; 5.60 ; 5.10 ; 4,4 ; 5,1 ; 0.07 ; 2.20 ; -   ; 0.70 ; 0.40 ; 58,3 ; 0.51 ; 207.10 ; 4.40 ; 7.10 ; -   ; 0.50 ; 10.30 ; 11.60 ; 1.00 ; 0.13 
 304.00 ; Vila Prudente ; 104.62 ; 19.00 ; 52.90 ; 7.40 ; 33.70 ; 267.00 ; 5.20 ; 2,310.00 ; 1,060.00 ; 0.40 ; 97.00 ; 11.00 ; 7.60 ; 36.00 ; 15.20 ; 22.70 ; 43.80 ; 3.70 ; 4.10 ; 2.90 ; 2,856.10 ; 1.03 ; 0.82 ; 5.30 ; 71.90 ; 41.60 ; 13.60 ; 21.00 ; 26.70 ; 9.00 ; 79.50 ; 7,60 ; 0,16 ; 6.50 ; 5.80 ; 6,3 ; 1,3 ; -   ; 1.00 ; -   ; 1.00 ; 0.50 ; 76,9 ; 0.86 ; 199.80 ; 3.80 ; 9.00 ; -   ; 3.80 ; 8.60 ; 5.10 ; -   ; 0.32 
 221.00 ; Iguatemi ; 151.59 ; 50.90 ; 50.90 ; 11.10 ; 48.10 ; 1.00 ; 7.10 ; 2,613.00 ; 203.00 ; -   ; 0.60 ; 5.70 ; 7.30 ; 56.00 ; 15.90 ; -   ; 18.20 ; 1.50 ; 1.10 ; 0.40 ; 1,900.10 ; 1.01 ; 0.77 ; 12.20 ; 59.30 ; 86.30 ; 12.90 ; 25.00 ; 27.90 ; 5.00 ; 98.10 ; 5,92 ; 0,07 ; 5.70 ; 5.20 ; 5,6 ; 3,7 ; -   ; 2.60 ; -   ; -   ; 0.30 ; 56,3 ; 0.99 ; 175.00 ; 3.30 ; 10.40 ; 0.40 ; 4.70 ; 14.50 ; 33.30 ; -   ; 0.16 
 231.00 ; Artur Alvim ; 100.04 ; 37.10 ; 53.10 ; 8.00 ; 37.30 ; 139.00 ; 7.30 ; 213,957.00 ; 211,010.00 ; 26.30 ; 60.80 ; 9.90 ; 7.00 ; 47.00 ; 16.10 ; 21.50 ; 48.80 ; 2.70 ; 4.20 ; 0.70 ; 1,773.70 ; 1.00 ; 0.86 ; 8.30 ; 68.60 ; 87.90 ; 10.10 ; 28.00 ; 28.10 ; 13.00 ; 98.80 ; 5,32 ; 0,02 ; 6.50 ; 5.20 ; 5,6 ; 2,2 ; -   ; 1.00 ; -   ; -   ; 0.80 ; 39,1 ; 3.40 ; 299.10 ; 1.00 ; 2.90 ; 0.30 ; 1.70 ; 6.00 ; 4.80 ; 1.00 ; 0.45 
 239.00 ; Parelheiros ; 155.47 ; 56.60 ; 51.10 ; 11.60 ; 49.40 ; 40.00 ; 8.10 ; 368.00 ; -   ; 50.00 ; -   ; 6.10 ; 6.50 ; 66.00 ; 19.90 ; -   ; 9.70 ; 1.50 ; 0.20 ; 0.60 ; 2,538.90 ; 1.00 ; 1.09 ; 11.60 ; 61.90 ; 79.00 ; 10.90 ; 10.00 ; 22.80 ; 17.00 ; 99.70 ; 6,42 ; 0,00 ; 5.70 ; 5.20 ; 2,9 ; 5,2 ; 0.13 ; 1.90 ; -   ; -   ; 0.20 ; 48,0 ; 0.51 ; 249.00 ; 0.60 ; 15.00 ; 1.50 ; 2.00 ; 10.90 ; 14.70 ; 0.20 ; 0.03 
 196.00 ; Tucuruvi ; 96.07 ; 19.30 ; 53.80 ; 6.90 ; 31.50 ; 66.00 ; 0.70 ; 2,443.00 ; -   ; 11.50 ; 84.80 ; 8.50 ; 4.20 ; 36.00 ; 15.60 ; 32.70 ; 7.30 ; 5.40 ; 5.50 ; 2.00 ; 2,318.30 ; 0.99 ; 0.73 ; 5.50 ; 72.70 ; 54.30 ; 8.50 ; 27.00 ; 25.60 ; 8.00 ; 84.90 ; 5,98 ; 0,00 ; 6.40 ; 5.50 ; 4,8 ; 2,7 ; 0.10 ; 2.10 ; -   ; -   ; 0.20 ; 71,4 ; 1.77 ; 239.60 ; 11.50 ; 6.80 ; -   ; 1.70 ; 1.00 ; -   ; -   ; 0.32 
 228.00 ; Vila Matilde ; 105.52 ; 25.40 ; 52.90 ; 7.70 ; 36.00 ; 66.00 ; 0.60 ; 3,706.00 ; -   ; 0.80 ; 84.30 ; 10.30 ; 2.80 ; 41.00 ; 16.50 ; 27.60 ; 55.20 ; 3.50 ; 4.20 ; 4.80 ; 2,137.30 ; 0.99 ; 0.97 ; 6.30 ; 71.60 ; -   ; 8.10 ; 26.00 ; 24.20 ; 18.00 ; 96.80 ; 5,70 ; 0,05 ; 6.20 ; 5.30 ; 5,8 ; 1,3 ; -   ; -   ; -   ; 0.90 ; 0.30 ; 76,9 ; 1.80 ; 245.60 ; 2.80 ; 4.40 ; -   ; 0.90 ; 3.80 ; 9.40 ; -   ; 0.30 
 274.00 ; Cursino ; 113.93 ; 24.60 ; 53.30 ; 7.70 ; 33.90 ; 43.00 ; 6.40 ; 523.00 ; 266.00 ; -   ; 92.60 ; 8.20 ; 5.30 ; 35.00 ; 15.70 ; 10.10 ; 22.50 ; 4.50 ; 4.20 ; 3.30 ; 3,051.50 ; 0.99 ; 0.99 ; 5.70 ; 73.60 ; -   ; 10.20 ; 19.00 ; 21.10 ; 6.00 ; 86.20 ; 13,48 ; 0,00 ; 5.60 ; não aplicável ; 9,2 ; 3,0 ; -   ; 0.90 ; -   ; 0.90 ; 0.10 ; 37,5 ; 1.49 ; 240.40 ; 4.40 ; 7.70 ; 0.30 ; 0.60 ; 7.90 ; 14.70 ; 0.30 ; 0.11 
 197.00 ; Santana ; 112.67 ; 14.50 ; 55.20 ; 7.10 ; 30.10 ; 1,124.00 ; 0.20 ; 1,860.00 ; 700.00 ; 2.30 ; 91.60 ; 14.00 ; 9.70 ; 33.00 ; 15.70 ; 29.70 ; 38.50 ; 8.80 ; 7.60 ; 6.80 ; 2,403.20 ; 0.98 ; 0.95 ; 2.30 ; 74.80 ; 92.10 ; 14.00 ; 37.00 ; 22.80 ; 38.00 ; 68.40 ; 13,79 ; 0,12 ; 5.90 ; 5.20 ; 6,1 ; 4,2 ; -   ; 2.70 ; -   ; 0.90 ; 0.20 ; 72,7 ; 2.84 ; 264.30 ; 5.30 ; 6.70 ; -   ; 1.50 ; -   ; -   ; -   ; 0.38 
 281.00 ; Saúde ; 134.03 ; 10.90 ; 54.20 ; 6.40 ; 27.60 ; 340.00 ; 0.90 ; 286.00 ; 80.00 ; -   ; 81.10 ; 7.50 ; 4.50 ; 29.00 ; 15.30 ; 58.40 ; 69.10 ; 8.20 ; 11.80 ; 5.20 ; 3,432.50 ; 0.98 ; 0.82 ; 1.20 ; 77.30 ; -   ; 7.90 ; 24.00 ; 18.60 ; 3.00 ; 24.60 ; 10,34 ; 0,00 ; 6.40 ; não aplicável ; 9,6 ; 5,0 ; -   ; -   ; -   ; 0.70 ; -   ; 100,0 ; 1.64 ; 170.70 ; 4.50 ; 2.40 ; 0.50 ; 2.20 ; 2.20 ; 10.40 ; 0.50 ; 0.26 
 219.00 ; São Rafael ; 161.03 ; 47.90 ; 51.00 ; 9.60 ; 45.90 ; 20.00 ; 9.30 ; 5,367.00 ; 4,651.00 ; 97.80 ; -   ; 3.40 ; 4.40 ; 55.00 ; 12.30 ; 1.40 ; 18.50 ; 1.70 ; 2.10 ; 1.00 ; 2,776.40 ; 0.97 ; 0.99 ; 12.40 ; 59.80 ; 161.60 ; 13.10 ; 27.00 ; 25.40 ; 11.00 ; 98.00 ; 8,63 ; 0,06 ; 5.50 ; 5.10 ; 4,6 ; 3,8 ; 0.12 ; 1.90 ; 0.06 ; -   ; 0.10 ; 45,2 ; 0.50 ; 188.80 ; 3.10 ; 8.80 ; 1.20 ; 4.00 ; 14.30 ; 19.50 ; 0.20 ; 0.15 
 224.00 ; José Bonifácio ; 137.40 ; 47.60 ; 52.70 ; 8.40 ; 41.30 ; 142.00 ; 1.30 ; 20,222.00 ; 16,647.00 ; 18.40 ; 18.00 ; 4.60 ; 5.10 ; 54.00 ; 15.50 ; 19.50 ; -   ; 1.30 ; 1.20 ; 1.80 ; 2,757.10 ; 0.97 ; 0.68 ; 10.00 ; 64.50 ; 101.40 ; 13.20 ; 28.00 ; 29.00 ; 7.00 ; 99.80 ; 6,00 ; 0,04 ; 6.00 ; 5.30 ; 5,6 ; 3,5 ; 0.07 ; 2.20 ; -   ; -   ; 0.40 ; 58,3 ; 1.89 ; 233.40 ; 2.90 ; 4.60 ; 0.20 ; 2.20 ; 4.40 ; 6.30 ; 0.50 ; 0.18 
 198.00 ; Mandaqui ; 109.28 ; 24.30 ; 53.10 ; 7.70 ; 35.30 ; 42.00 ; 3.10 ; 876.00 ; 160.00 ; 33.20 ; 65.60 ; 8.90 ; 5.50 ; 42.00 ; 15.90 ; -   ; 57.80 ; 3.30 ; 2.70 ; 2.40 ; 3,181.70 ; 0.96 ; 1.03 ; 6.20 ; 70.40 ; 48.30 ; 6.80 ; 32.00 ; 26.50 ; 39.00 ; 95.10 ; 7,74 ; 0,00 ; 6.10 ; não aplicável ; 6,5 ; 4,6 ; -   ; 0.90 ; -   ; 0.90 ; 0.30 ; 33,3 ; 0.18 ; 199.40 ; 3.70 ; 4.90 ; -   ; 1.20 ; 7.30 ; 9.20 ; -   ; 0.12 
 192.00 ; Vila Formosa ; 93.95 ; 20.40 ; 52.90 ; 7.30 ; 34.40 ; 39.00 ; 0.90 ; 1,144.00 ; -   ; 1.60 ; 90.70 ; 9.10 ; 4.30 ; 38.00 ; 15.80 ; -   ; 53.60 ; 5.10 ; 6.40 ; 3.90 ; 1,992.20 ; 0.95 ; 0.72 ; 4.20 ; 71.90 ; 55.50 ; 4.90 ; 26.00 ; 28.50 ; 17.00 ; 88.60 ; 10,68 ; 0,09 ; não aplicável ; não aplicável ; 7,2 ; 5,1 ; 0.21 ; 6.40 ; -   ; -   ; 0.40 ; 50,0 ; 1.06 ; 213.70 ; 1.10 ; 5.30 ; -   ; 0.40 ; 4.30 ; 10.80 ; -   ; 0.36 
 262.00 ; Campo Grande ; 107.04 ; 22.30 ; 53.30 ; 7.30 ; 34.50 ; 234.00 ; 3.70 ; 2,082.00 ; 131.00 ; 24.00 ; 75.40 ; 15.30 ; 10.30 ; 34.00 ; 15.00 ; 2.40 ; 16.40 ; 5.20 ; 4.30 ; 4.30 ; 4,438.10 ; 0.95 ; 0.87 ; 4.50 ; 71.60 ; -   ; 10.70 ; 39.00 ; 25.30 ; 15.00 ; 88.30 ; 6,98 ; 0,02 ; 5.80 ; 5.50 ; 6,7 ; 1,8 ; -   ; -   ; -   ; -   ; 0.70 ; 50,0 ; 0.47 ; 193.20 ; 4.70 ; 6.50 ; 0.30 ; 1.60 ; 1.90 ; -   ; 0.30 ; 0.39 
 280.00 ; Vila Mariana ; 132.03 ; 8.70 ; 54.40 ; 6.30 ; 25.70 ; 275.00 ; 0.80 ; 72.00 ; -   ; -   ; 100.00 ; 7.00 ; 2.30 ; 31.00 ; 14.30 ; 65.00 ; 73.90 ; 13.20 ; 20.20 ; 8.80 ; 4,290.30 ; 0.95 ; 0.89 ; 1.70 ; 78.30 ; -   ; 4.00 ; 14.00 ; 20.10 ; 10.00 ; 57.10 ; 5,37 ; 0,00 ; não aplicável ; 5.70 ; 6,7 ; 1,6 ; -   ; 3.00 ; 0.08 ; 2.30 ; 0.30 ; 50,0 ; 5.00 ; 184.30 ; 9.80 ; 3.40 ; -   ; 0.50 ; 1.50 ; -   ; -   ; 0.33 
 290.00 ; República ; 61.96 ; 30.20 ; 49.90 ; 7.70 ; 28.50 ; 2,656.00 ; -   ; 188.00 ; 90.00 ; -   ; 20.40 ; 23.30 ; 9.70 ; 27.00 ; 12.60 ; 88.00 ; 98.70 ; 17.30 ; 44.64 ; 15.80 ; 2,930.90 ; 0.95 ; 0.77 ; 6.10 ; 67.90 ; -   ; 13.60 ; -   ; 26.00 ; 11.00 ; 26.20 ; não aplicável ; não aplicável ; não aplicável ; não aplicável ; não aplicável ; não aplicável ; 0.81 ; 14.50 ; 0.16 ; 25.80 ; -   ; 50,0 ; 12.43 ; 470.90 ; 32.30 ; 3.00 ; 1.10 ; 1.10 ; 8.10 ; 22.90 ; 2.20 ; 1.05 
 309.00 ; Ermelino Matarazzo ; 119.10 ; 43.00 ; 51.80 ; 9.40 ; 42.10 ; 237.00 ; 8.60 ; 1,236.00 ; 33.00 ; 13.40 ; 48.60 ; 5.60 ; 1.70 ; 51.00 ; 17.10 ; 12.90 ; 60.70 ; 2.90 ; 3.60 ; 3.00 ; 3,625.00 ; 0.94 ; 0.92 ; 8.60 ; 65.10 ; -   ; 7.30 ; 17.00 ; 22.80 ; 10.00 ; 88.60 ; 5,45 ; 0,00 ; não aplicável ; 5.30 ; 7,5 ; 7,4 ; -   ; 0.80 ; -   ; -   ; 0.40 ; 37,5 ; 1.60 ; 262.70 ; 4.20 ; 5.40 ; 0.80 ; 1.40 ; 7.60 ; 11.00 ; 2.20 ; 0.21 
 235.00 ; Raposo Tavares ; 107.97 ; 46.50 ; 52.50 ; 10.30 ; 43.10 ; 163.00 ; 11.10 ; 28,627.00 ; 3,738.00 ; 14.30 ; 83.20 ; 6.60 ; 4.70 ; 48.00 ; 17.80 ; -   ; 32.90 ; 2.50 ; 2.20 ; 1.70 ; 2,542.00 ; 0.93 ; 0.81 ; 8.10 ; 65.90 ; -   ; 11.50 ; 8.00 ; 24.20 ; 3.00 ; 99.50 ; 7,13 ; 0,01 ; 5.80 ; 5.10 ; 5,1 ; 3,3 ; 0.09 ; 1.90 ; -   ; 1.90 ; 0.20 ; 46,4 ; 1.11 ; 259.60 ; 5.60 ; 5.80 ; 0.90 ; 5.00 ; 11.10 ; 24.80 ; 0.30 ; 0.16 
 308.00 ; Ponte Rasa ; 89.57 ; 35.20 ; 52.80 ; 8.20 ; 38.00 ; 109.00 ; 3.40 ; 839.00 ; -   ; 24.90 ; 53.80 ; 10.60 ; 8.90 ; 47.00 ; 18.50 ; -   ; 65.90 ; 2.90 ; 3.90 ; 1.10 ; 2,777.50 ; 0.92 ; 0.77 ; 6.50 ; 68.60 ; 92.70 ; 8.50 ; 15.00 ; 28.00 ; 17.00 ; 98.90 ; 7,78 ; 0,02 ; 6.20 ; 5.10 ; 6,0 ; 5,6 ; -   ; -   ; -   ; -   ; 0.40 ; 44,4 ; 3.35 ; 301.90 ; 2.20 ; 2.60 ; -   ; 2.60 ; 5.60 ; 5.20 ; -   ; 0.47 
 273.00 ; Ipiranga ; 112.53 ; 22.00 ; 53.30 ; 7.80 ; 34.40 ; 451.00 ; 3.30 ; 3,701.00 ; 3,191.00 ; -   ; 82.00 ; 10.70 ; 2.70 ; 32.00 ; 15.50 ; 34.50 ; 64.30 ; 5.80 ; 5.90 ; 8.00 ; 2,993.20 ; 0.91 ; 0.82 ; 5.40 ; 73.50 ; 76.00 ; 6.90 ; 31.00 ; 20.70 ; 23.00 ; 61.00 ; 9,20 ; 0,00 ; 4.80 ; não aplicável ; 6,2 ; 5,3 ; 0.09 ; 4.40 ; 0.09 ; 3.60 ; 0.40 ; 70,0 ; 3.20 ; 268.80 ; 1.80 ; 5.40 ; 1.50 ; 4.20 ; 5.30 ; -   ; 0.30 ; 0.26 
 315.00 ; Jaçanã ; 96.18 ; 35.80 ; 52.60 ; 8.50 ; 40.50 ; 236.00 ; 8.20 ; 1,302.00 ; 1,051.00 ; -   ; 81.70 ; 12.90 ; 22.90 ; 47.00 ; 13.90 ; -   ; 34.70 ; 2.50 ; 2.90 ; 2.50 ; 2,413.00 ; 0.91 ; 1.02 ; 11.00 ; 68.70 ; 166.40 ; 12.30 ; 21.00 ; 25.00 ; 3.00 ; 93.40 ; 6,40 ; 0,03 ; 6.10 ; 5.50 ; 6,8 ; 5,6 ; -   ; 3.10 ; -   ; -   ; 0.20 ; 58,8 ; 1.46 ; 249.60 ; 6.20 ; 4.20 ; 1.70 ; 4.90 ; 9.40 ; 13.70 ; 0.70 ; 0.21 
 205.00 ; Guaianases ; 110.36 ; 51.50 ; 51.60 ; 10.80 ; 46.60 ; 199.00 ; 2.90 ; 4,201.00 ; 2,798.00 ; 30.90 ; 43.20 ; 7.40 ; 7.30 ; 60.00 ; 14.60 ; 6.90 ; -   ; 1.90 ; 2.40 ; 0.90 ; 2,975.90 ; 0.89 ; 0.71 ; 11.00 ; 61.20 ; 82.90 ; 14.00 ; 17.00 ; 24.50 ; 10.00 ; 97.00 ; 6,88 ; 0,03 ; 5.80 ; 5.10 ; 7,0 ; 3,1 ; 0.09 ; 1.80 ; -   ; -   ; 0.10 ; 52,9 ; 1.36 ; 276.40 ; 1.80 ; 7.90 ; 0.30 ; 5.80 ; 11.80 ; 21.50 ; 1.20 ; 0.35 
 297.00 ; Tatuapé ; 96.15 ; 11.10 ; 53.80 ; 6.70 ; 31.00 ; 339.00 ; 1.00 ; 1,970.00 ; -   ; 24.70 ; 73.30 ; 13.10 ; 8.30 ; 32.00 ; 15.30 ; 24.20 ; 28.60 ; 7.50 ; 8.50 ; 8.60 ; 2,272.30 ; 0.88 ; 0.82 ; 2.20 ; 75.20 ; -   ; 4.10 ; 17.00 ; 25.60 ; 17.00 ; 69.10 ; 8,88 ; 0,00 ; 5.70 ; 5.60 ; 8,0 ; 7,9 ; 0.10 ; 5.20 ; -   ; 3.10 ; 0.10 ; 58,3 ; 3.33 ; 279.60 ; 4.20 ; 3.70 ; 0.70 ; 3.80 ; 2.10 ; -   ; -   ; 0.51 
 300.00 ; Brás ; 33.29 ; 33.50 ; 50.30 ; 11.20 ; 39.80 ; 1,206.00 ; 0.20 ; 4,075.00 ; 2,472.00 ; 20.60 ; 39.20 ; 23.00 ; 6.10 ; 29.00 ; 15.50 ; 71.40 ; 73.10 ; 14.10 ; 13.00 ; 17.00 ; 2,467.00 ; 0.86 ; 0.84 ; 8.00 ; 61.70 ; 304.20 ; 26.70 ; 18.00 ; 19.90 ; 24.00 ; 6.10 ; não aplicável ; não aplicável ; não aplicável ; não aplicável ; 5,5 ; 0,0 ; -   ; -   ; -   ; -   ; -   ; 25,0 ; 9.31 ; 571.00 ; 27.00 ; 1.80 ; 2.10 ; 8.10 ; 3.00 ; -   ; 3.00 ; 0.58 
 248.00 ; Limão ; 79.67 ; 32.80 ; 53.20 ; 9.60 ; 39.10 ; 137.00 ; 8.30 ; 2,277.00 ; 984.00 ; 2.20 ; 97.80 ; 11.40 ; 7.50 ; 37.00 ; 15.10 ; -   ; 43.90 ; 3.80 ; 4.70 ; 3.20 ; 2,705.60 ; 0.85 ; 0.79 ; 6.30 ; 70.40 ; 143.20 ; 9.10 ; 20.00 ; 26.60 ; 18.00 ; 94.80 ; 10,86 ; 0,00 ; 5.90 ; 4.30 ; 6,6 ; 4,6 ; -   ; 1.30 ; -   ; -   ; 0.30 ; 44,4 ; 2.26 ; 268.00 ; 11.30 ; 2.40 ; 0.40 ; 1.70 ; 3.80 ; 6.10 ; -   ; 0.30 
 266.00 ; Perdizes ; 114.75 ; 9.40 ; 54.10 ; 6.10 ; 27.00 ; 27.00 ; -   ; 304.00 ; -   ; -   ; 100.00 ; 4.10 ; 1.70 ; 32.00 ; 16.10 ; 13.40 ; 53.40 ; 10.10 ; 18.30 ; 4.00 ; 3,406.10 ; 0.83 ; 0.91 ; 0.80 ; 77.90 ; -   ; 5.40 ; 10.00 ; 16.90 ; 4.00 ; 24.00 ; 14,71 ; 0,00 ; não aplicável ; não aplicável ; 2,8 ; 2,8 ; -   ; -   ; -   ; 10.50 ; 0.10 ; 100,0 ; 0.87 ; 134.40 ; 2.60 ; 3.30 ; -   ; 0.60 ; 2.60 ; -   ; 1.20 ; 0.24 
 302.00 ; Água Rasa ; 82.26 ; 13.80 ; 53.60 ; 7.50 ; 32.40 ; 379.00 ; 0.10 ; 912.00 ; -   ; 4.60 ; 93.40 ; 11.90 ; 8.50 ; 35.00 ; 15.30 ; 6.70 ; 36.40 ; 5.60 ; 6.40 ; 4.80 ; 2,622.70 ; 0.83 ; 1.09 ; 3.80 ; 73.40 ; 51.90 ; 5.10 ; 31.00 ; 24.20 ; 13.00 ; 65.30 ; 8,28 ; 0,05 ; 6.00 ; 5.20 ; 4,5 ; 3,4 ; 0.24 ; 1.20 ; -   ; -   ; 0.20 ; 89,9 ; 0.85 ; 225.00 ; 6.10 ; 6.60 ; 0.80 ; 0.80 ; 2.40 ; -   ; 0.40 ; 0.24 
 249.00 ; Casa Verde ; 85.96 ; 29.10 ; 53.40 ; 8.70 ; 36.60 ; 276.00 ; 0.10 ; 1,284.00 ; 280.00 ; 0.60 ; 93.00 ; 12.10 ; 7.00 ; 36.00 ; 16.30 ; -   ; 48.90 ; 5.90 ; 7.10 ; 4.90 ; 3,578.20 ; 0.82 ; 0.95 ; 6.90 ; 71.30 ; 55.40 ; 6.20 ; 23.00 ; 27.60 ; 16.00 ; 90.70 ; 8,17 ; 0,00 ; 6.40 ; 5.50 ; 8,4 ; 6,2 ; -   ; 1.20 ; -   ; 3.50 ; 0.10 ; 60,0 ; 2.79 ; 260.80 ; 5.80 ; 3.10 ; -   ; 1.60 ; 7.00 ; 12.00 ; -   ; 0.30 
