SUBPREFEITURA;População total;População preta e parda;População feminina;População Infantil;População jovem;População em situação de rua;Favelas;Habitações  de Interesse Social (HIS)  Licenciadas;Habitações  de Interesse  Social (HIS) produzidas  por SEHAB;Habitações  de Interesse  Social (HIS)  Licenciadas (até 3 salários mínimos);Habitações  de Interesse  Social (HIS)  Licenciadas (entre 3 a 6 salários mínimos);Ocorrências de trânsito;Mortes no trânsito ;Tempo médio de  deslocamento por transporte público;Velocidade média ônibus (km/h);Acesso a transporte de massa;Acesso a infraestrutura cicloviária;Acesso internet - Mapeamento das antenas (População distrito);Oferta de emprego formal;Remuneração média mensal do emprego formal;Micro Empreendedores Individuais  (MEIs);Desigualdade salarial  (emprego  formal);Gravidez na adolescência;Idade média ao morrer ;Mortalidade materna;Mortalidade infantil;Tempo médio para consultas na Atenção Básica;Mortalidade por Covid-19;Tempo de atendimento para vaga em creche ;Matrículas no Ensino Básico em escolas públicas;Distorção Idade-Série no Ensino Fundamental da rede municipal;Abandono escolar no Ensino Fundamental da rede municipal;Ideb  (Escolas  públicas -  anos iniciais);Ideb  (Escolas  públicas -  anos finais);Adequação  da formação docente;Esforço  docente;Centros culturais. casas e espaços de cultura ;Equipamentos públicos de cultura;Cinemas;Espaços culturais independentes;Equipamentos públicos de esporte;Quadras esportivas nas escolas públicas;Violência racial;Violência contra a mulher;Violência LGBTQIAP+;Deslocamentos médio para  denúncias de  violência  contra mulher;Feminicídio;Mortes por intervenção policial;Homicídios;Homicídios de jovens;Agressões por intervenção policial;Emissão de poluentes  atmosféricos por área  (kg/km²/dia)
Aricanduva;264602;0.217061851;0.170456006;0.074304049;0.347933878;407;1.5;3806;618;14.73333333;71.66666667;10.25735595;6.46226219;40.33333333;16.16666667;0;0.533102618;4.195824673;3.633333333;2102.4;0.0256;0.763333333;0.056333333;71.53333333;98.23333333;7.266666667;27.66666667;0.266;15.33333333;0.879;8.333333333;0.001633333;4.133333333;1.8;0.049666667;0.039333333;0.074565309;2.657506746;0;0;0.46449271;68.23333333;1.889449853;226.5589739;3.767026704;4.866666667;0.385040174;1.8;5.307141669;9.279000159;0.257970839;0.34
Butantã;461445;0.311183348;0.06144611;0.094513972;0.386906349;263;14.02;33892;7487;15.58;44.84;9.31502736;5.451419779;37.8;17.74;0.049965393;0.502938723;6.951529651;7.06;3211.14;0.0404;0.938;0.0686;70.92;40.12;9;8.6;0.2128;15.4;0.9118;8.04;0.00098;5.68;5.16;0.0656;0.0302;0.086227026;2.397390805;0.022110977;1.090291801;0.333897864;58.1;1.949737043;217.2156194;5.665929417;4.22;0.562659038;2.98;7.58650435;17.06661249;0.282506691;0.234
Campo Limpo;694892;0.489255884;0.17265129;0.098336144;0.439358922;348;25.16666667;11640;5974;21.46666667;45.9;5.997531559;6.931969716;49;13.83333333;0.10462045;0.313024919;2.907204429;1.166666667;2348.833333;0.0549;0.816666667;0.086333333;64.13333333;61.23333333;7.433333333;6.333333333;0.250333333;13.66666667;0.901;9.896666667;0.001366667;5.633333333;3.466666667;0.057666667;0.059333333;0.026147099;1.696130766;0.012891687;0.430800901;0.308664944;58;1.294384782;210.7103956;6.040413043;5.9;0.542387882;2.733333333;10.66124937;24.38179401;0.22833246;0.323333333
Capela do Socorro;632396;0.511562375;0;0.102238155;0.446729581;340;9.466666667;7884;5833;0;66.66666667;7.316807507;6.306409117;49;15.96666667;0.117934481;0.25724567;2.310559839;4.866666667;2652.8;0.0468;0.856666667;0.081;66.6;111.5333333;9.666666667;15.66666667;0.237666667;8;0.926666667;8.826666667;0.0002;6.033333333;3.533333333;0.056333333;0.042666667;0.031051272;1.921172809;0.018630763;0.310512717;0.506503994;48.16666667;0.569350897;223.7945227;3.014526815;10.96666667;0.938581838;1.533333333;7.568344835;12.75064596;0.747578416;0.193333333
Casa Verde;312495;0.367170675;0.14689195;0.097284757;0.407152114;539;9.466666667;4910;1844;0.933333333;82.33333333;9.712640842;5.435547449;39.66666667;15.53333333;0;0.410925874;3.672699083;3.033333333;2929.166667;0.0305;0.92;0.075;68.46666667;87.43333333;9.233333333;23;0.270333333;14.33333333;0.950666667;8.583333333;6.66667E-05;6;5.033333333;0.079666667;0.053;0.03289851;1.601477144;0;1.620748812;0.150988336;61.46666667;1.569230068;239.7476164;6.403215411;3.733333333;0.289968159;1.633333333;8.017103634;15.80660363;0.093995744;0.27
Cidade Ademar;449606;0.508672037;0.334679697;0.098833201;0.435058696;193;17.15;1465;668;7;86.9;5.491610432;4.696753602;49.5;14.65;0;0.014974284;2.191610432;1.05;2588.95;0.035;0.755;0.1085;63.75;59;10.55;20.5;0.2545;12;0.972;8.28;0.00015;5.7;0;0.0615;0.0505;0;0.216779136;0;0.191610432;0.136129856;50.85;0.713545504;214.4277403;1.110961153;10.05;0.791610432;2.05;7.336129856;16.09485683;0.136129856;0.275
Cidade Tiradentes;237872;0.560999193;0.521999226;0.105998184;0.485000336;134;4.1;26072;22115;6.3;1.6;4.1;3.4;69;15;0;0.179;1.1;0.3;2654.4;0.0141;0.9;0.133;59.4;73.1;11.6;19;0.272;7;0.999;7.45;0.0001;5.4;4.9;0.059;0.048;0.21;5;0.04;0;0.2;61.6;0.71;208.8;2.5;8.5;0.8;3;16;36.3;0;0.29
Ermelino Matarazzo;208675;0.396516114;0.29564634;0.088851084;0.40340242;346;6;2075;33;19.15;51.2;7.74625614;4.790608841;49;17.8;0.073626592;0.629321064;2.9;2.05;3201.25;0.0186;0.845;0.0755;66.85;46.35;7.9;16;0.254;13.5;0.9375;6.615;0.0001;3.1;5.2;0.0675;0.065;0;0.456599018;0;0;0.4;40.95;2.351189649;279.5266481;3.341497544;4;0.456599018;2;6.741497544;8.510342878;1.255647298;0.34
Freguesia do Ó;423628;0.437605635;0.174785425;0.104417083;0.437969162;165;14.55;3458;1152;41.8;40.85;6.45028374;4.732163124;46;15.3;0;0.401996369;2.329530154;1.1;2053.1;0.0352;0.86;0.097;66.2;130.55;10.95;16;0.268;13;0.958;7.935;0.00005;5.65;5.2;0.064;0.04;0.046257093;1.694734059;0.026783688;0.231285467;0.431285467;62.7;1.277454795;250.8975715;3.569592189;4.85;1.636551408;1.65;6.613164852;11.82106376;0.467836876;0.24
Guaianases;285993;0.543862962;0.199116762;0.108614547;0.473368229;391;5;10529;5725;38.5;27.05;5.373427322;3.860967576;59.5;13.9;0.065315322;0;1.53153224;1.35;3785.05;0.022;0.735;0.1065;61.35;68.6;12.9;18;0.2505;7.5;0.9825;6.16;0.00015;5.75;5.05;0.062;0.0395;0.071576612;2.782580693;0;0;0.161411293;53.7;0.696758033;252.2653617;2.782580693;7.3;0.361411293;4.05;12.59834681;28.43947614;0.585887067;0.3
Ipiranga;491151;0.279922061;0.122123339;0.081001566;0.365474162;544;11.13333333;12729;9326;13.93333333;71.63333333;6.18604136;3.303115132;37.33333333;15.26666667;0.115409976;0.326701428;3.827822604;4.266666667;3151;0.0408;0.913333333;0.063;71.66666667;51.2;9.733333333;27;0.221666667;11.66666667;0.815333333;10.61333333;6.66667E-05;5.5;1.8;0.074;0.039333333;0.020621072;2.24084019;0.042177457;1.033613492;0.384300755;54.26666667;1.466839953;230.3625683;2.457006094;7.9;0.628838585;2.433333333;8.112644584;16.82876977;0.3;0.176666667
Itaim Paulista;390254;0.533780563;0.313383079;0.100234719;0.456074762;186;6.4;6762;3362;49.4;20.35;3.860498803;4.143443757;60.5;15.95;0.060444892;0.045426376;1.73700718;0.75;2344.9;0.0294;0.89;0.0985;64.4;53.6;10.6;18.5;0.2505;13.5;0.993;7.07;0.00005;5.85;5.25;0.0575;0.0495;0.048399043;1.779002393;0.024199521;0.479002393;0.31850359;46.05;0.486299282;238.8881723;5.860498803;8.3;0.460498803;1.8;5.109976067;9.014321698;0.639501197;0.31
Itaquera;557583;0.438401099;0.198673561;0.092067011;0.422527229;549;7.575;35661;22063;31.8;40.175;7.20644478;7.040617451;51.25;16.025;0.090680121;0.141863871;2.820258329;2.275;3347.025;0.0487;0.785;0.08575;64.55;60.675;11.575;29.75;0.28575;15;0.94625;6.75;0.0008;4.5;4.025;0.05325;0.03275;0.035338021;1.792156863;0.036094106;0;0.271436001;52.65;1.290299561;284.2377477;4.476624646;3.7;0.342246984;1.925;8.785589948;19.99431188;0.768522713;0.295
Jabaquara;229685;0.344001567;0.529999782;0.08499902;0.376001916;345;16.4;1791;794;32.4;43.7;9.2;8.3;37;14.3;0.166;0.371;5;3.8;5123.1;0.0188;0.63;0.079;70.2;56.9;9.7;19;0.228;17;0.906;7.55;0.0004;5.9;5.1;0.068;0.04;0.04;3;0.04;1.7;0.2;45.8;0.74;242.2;3.9;8.7;0.1;1.7;7.4;21.6;0.1;0.35
Jaçanã;321688;0.385339211;0.157261073;0.095514909;0.426030812;297;9.45;2736;1783;0;68.85;8.97424834;9.650588148;46.5;14.9;0;0.103743602;1.939178334;1.65;2551.8;0.024;0.82;0.1065;67.4;131.15;11;21.5;0.2595;7;0.957;7.22;0.00015;6;5.45;0.0655;0.0545;0.028041083;1.207226878;0.028041083;0;0.129897292;55.7;0.681859939;218.4042948;4.938151252;13.2;0.788664793;3.7;12.13400562;24.07520082;1.120616249;0.14
Lapa;322998;0.162041251;0.111530102;0.070195481;0.312896674;1062;2.816666667;4827;2743;0;79.13333333;10.93182125;9.904300955;34.83333333;16.9;0.195854919;0.551087731;10.89635261;21.93333333;4078.7;0.0294;0.926666667;0.035166667;74.93333333;50.55;4.633333333;13.66666667;0.207833333;8.166666667;0.664166667;7.6;0.000133333;1.816666667;0;0.0315;0.0325;0.031153289;1.867271934;0;9.931642611;0.395859107;79.51666667;3.744773559;216.0013238;7.739667119;4.3;0.609600059;3.483333333;1.544838358;1.479235785;0.634010737;0.293333333
M'Boi Mirim;637603;0.56018557;0;0.103826362;0.45712928;143;20;6278;4863;26.45;65;4.524661898;4.885521084;54;15.2;0.029219571;0.079774066;1.863802711;1.05;2848.7;0.0455;0.85;0.1065;61.65;73.4;11.9;7;0.244;7.5;0.9855;8.4;0.00025;5.5;5.1;0.061;0.072;0.048552108;1.614478916;0.016085919;0.139140813;0.246380271;50.05;0.425497214;192.2099443;1.292760542;8.4;0.98257756;0.95;10.07398569;15.51742244;0.592760542;0.21
Mooca;360803;0.171686488;0;0.082471598;0.337522138;5811;1.216666667;11051;3557;16.2;68.33333333;15.70808419;7.783481013;30.5;16.06666667;0.234825996;0.396787355;8.063337888;10.11666667;2771.7;0.0445;0.906666667;0.061666667;70.05;97.55;12.36666667;17.83333333;0.2335;14.5;0.606833333;8.206666667;0.0011;2.966666667;2.7;0.067;0.040333333;0.081368669;2.493577936;0;1.661857302;0.256788053;66.36666667;2.771326763;300.6393539;7.494182144;4.283333333;0.651893416;3.716666667;4.155556633;4.70960053;0.917743478;0.386666667
Parelheiros;163931;0.561870543;0.484618529;0.114505493;0.492402291;40;5.4;368;0;25;0;6.151625379;6.164435037;69.5;21.05;0;0.091992338;1.665201213;3.5;2459.65;0.0103;0.885;0.106;61.75;39.5;12.3;7;0.196;11;0.9985;3.21;0;5.6;5.2;0.0395;0.0885;0.123288701;1.80191178;0;0;0.189674924;74;0.483671057;244.6583056;1.178204244;14.4;1.422561932;4.95;10.94646284;16.12486046;0.189674924;0.015
Penha;472912;0.312087661;0.145464695;0.082877998;0.372887556;583;6.2;222963;211836;22.575;67.875;10.176366;6.5443905;43.25;17.125;0.185974661;0.463035013;3.482811601;2.325;2115.95;0.0443;0.885;0.07575;69.425;62.55;9.825;26.5;0.26425;12;0.90975;6.72;0.000175;6.35;5.4;0.049;0.0235;0.021833237;2.32863852;0.020469707;0.623837204;0.349236222;54;1.818748731;267.222372;2.735041403;4.35;0.404616927;1.65;4.631926236;8.844237406;0.845119599;0.34
Perus;176130;0.495327315;0.261431897;0.104672685;0.46806904;118;7.15;2252;600;88.9;9.25;6.258127519;10.36748992;61;18.9;0.067532618;0;1.965093965;0.6;2199.8;0.0108;0.735;0.0885;62.9;122.6;5.9;15.5;0.294;22.5;0.9985;6.095;0.00055;5.75;5.15;0.071;0.0435;0;5.646516777;0.056277182;0;0.248838926;54;1.421371146;241.311202;4.546516777;3.45;1.604644297;1.75;7.409288594;13.3;0;0.05
Pinheiros;294302;0.08959844;0.122251972;0.062323735;0.256545997;545;0.225;2115;320;0;50;12.31258571;5.092416633;29.25;16.275;0.388649129;0.536455488;33.6317096;18.5;5213.275;0.0207;0.8975;0.009;79.425;0;5.4;7.25;0.18075;13;0.41125;4.245;0.0012;1.45;1.35;0.04525;0.0055;0.033042589;1.705368975;0;6.121419154;0.132170356;30;4.789635748;187.3477486;7.814073299;5.3;0.111749156;1.1;2.044734321;8.25260039;0;0.4
Pirituba;472653;0.386992149;0.189968116;0.092539347;0.414536669;100;10.83333333;16374;8774;2.633333333;77.56666667;6.92813946;7.871503831;49.33333333;17.9;0.138207725;0.168239986;3.000996503;5.033333333;5079.5;0.0386;0.69;0.086666667;66.43333333;84.46666667;10.4;18;0.253666667;14.66666667;0.963666667;9.12;0.000633333;5.7;5.366666667;0.057333333;0.047;0.043714226;1.721533979;0.021962158;0.217520676;0.254205093;67.2;0.888008158;262.1331203;3.588788604;3.133333333;0.965254849;2.066666667;6.770675316;11.91214781;0.382317683;0.186666667
Santana;318012;0.1931751;0.195564947;0.072456385;0.323097871;1232;1.333333333;5179;860;15.66666667;80.66666667;10.58600745;6.595281625;37;15.73333333;0.204001915;0.357073233;5.882919827;3.733333333;2634.4;0.0293;0.903333333;0.046666667;72.63333333;64.9;9.766666667;32;0.249666667;28.33333333;0.828;9.17;0.0004;6.133333333;3.566666667;0.058;0.038333333;0.03020798;1.900203766;0;0.628128184;0.234363798;59.13333333;1.602697603;234.5365244;6.623073972;6.133333333;0;1.466666667;2.81063702;3.161469379;0;0.273333333
Santo Amaro;244901;0.160370925;0.161934823;0.069489304;0.320015026;1090;4.333333333;3229;431;42.06666667;57.2;18.21573738;13.47215528;30.66666667;15.7;0.227992899;0.249687033;15.76280701;11.93333333;4147.866667;0.0216;0.813333333;0.032666667;75.9;0;4.466666667;29.66666667;0.211666667;17;0.687666667;9.14;0.000733333;5.466666667;3.8;0.062666667;0.018666667;0.164060988;3.281219758;0;1.640609879;0.526648319;76.66666667;2.085909286;244.9448316;6.957138599;3.733333333;0.412588352;1.466666667;1.639972479;2.668988693;0.25264413;0.466666667
São Mateus;468351;0.454129488;0.171903124;0.100189815;0.451823526;288;7.5;12241;5506;50.93333333;11;6.438694483;6.43589402;53.33333333;14.56666667;0.035736174;0.281119173;2.067516884;1.1;2401.533333;0.0338;0.84;0.107666667;61.56666667;120.8;12.1;28.66666667;0.266666667;8;0.984666667;6.713333333;0.0008;5.633333333;5.133333333;0.054666667;0.038;0.061209606;1.694317937;0.020629784;0;0.264484116;51.16666667;0.941223655;224.1004336;5.325987988;8.566666667;1.173814724;3.833333333;12.80198099;23.06888936;0.135266072;0.23
São Miguel;371350;0.499135586;0.12513801;0.101405682;0.44586778;417;6.633333333;5700;3663;12.36666667;75.03333333;7.613786455;6.180475293;56;16.23333333;0.119506175;0.5453586;1.415467887;1.166666667;3309.766667;0.0285;0.913333333;0.100333333;64.5;96.86666667;10.9;21.66666667;0.265666667;14.66666667;0.966333333;5.973333333;0.000466667;5.8;5.266666667;0.053;0.039666667;0.107152578;2.436243167;0;0.532190386;0.297244379;56.6;0.697463202;244.870255;4.584707419;5.033333333;0.078782819;1.766666667;8.621693281;15.54368386;0.905798573;0.256666667
Sapopemba;290405;0.417000396;0.518999329;0.093999759;0.42200031;44;19;10098;8897;29.8;17.4;6.4;4.5;50;16.1;0.347;0.449;1.5;1;2818.5;0.0216;1.09;0.099;65.4;81.3;9.6;26;0.293;7;0.995;6.97;0;5.7;5.2;0.059;0.029;0;1.4;0;0.3;0.2;54.5;1.07;212.3;1;9.8;0.6;1.8;12.1;26.6;0.1;0.33
Sé;461033;0.221919038;0.029613932;0.077901148;0.300648761;12851;0.4;9185;1114;6.1375;60.75;13.77706281;6.974864272;29.625;15.6375;0.597931118;0.770044444;14.52399286;17.025;3756.7875;0.0488;0.8375;0.052125;71.025;35.0125;9.625;18;0.21775;10.875;0.643125;4.24875;0.000525;2.175;0.6;0.02275;0.026375;0.175371134;4.989782944;0.021501628;12.58122868;0.191432067;65.8375;5.62022647;298.8266287;21.48810129;3.5875;0.863174437;2.0625;4.985575436;11.13134244;6.675470736;0.60375
Vila Maria/Vila Guilherme;294427;0.316682913;0;0.093293074;0.389634782;1238;6.033333333;3360;2008;1.9;97.23333333;12.02057929;7.478487367;37.33333333;15.96666667;0.000971599;0.457636521;5.252505714;6.566666667;3046.633333;0.029;0.853333333;0.083;69.53333333;90.4;6.233333333;17;0.273;10;0.917;9.98;0.000466667;6;5.433333333;0.057;0.021333333;0.068011935;1.028837369;0;0.348718018;0.258178428;69.43333333;2.618233552;246.1757879;5.117510622;9.833333333;0.906896446;3;9.136474236;18.90583744;0.823253302;0.283333333
Vila Mariana;355577;0.087992193;0.201990005;0.062369051;0.265925524;972;0.566666667;358;80;0;60.36666667;7.717149028;3.406199501;30.33333333;15.86666667;0.56293922;0.754389705;13.3292997;7.6;3788.866667;0.0236;0.873333333;0.011;78.46666667;21.3;4.433333333;20.33333333;0.185333333;8.333333333;0.464666667;7.616666667;0;4.166666667;3.7;0.078;0.022;0.027692652;2.246800271;0.029704508;1.117864204;0.18691732;72.23333333;3.235006257;179.8533139;7.298703234;3.633333333;0.188471133;1.4;1.940085551;8.048922174;0.188471133;0.346666667
Vila Prudente;247498;0.221173504;0.223605847;0.07457838;0.347392706;303;4.75;4695;1373;4.8;61.35;8.979430137;6.041274677;38.5;15.95;0.321100825;0.261921769;3.526808297;2.1;2570.8;0.0224;0.8;0.0575;71.15;53.35;13.05;22;0.2775;9.5;0.8915;8.07;0.001;6.1;5.6;0.0615;0.016;0;0.826808297;0;0.826808297;0.615461135;71.8;0.605985503;190.6208398;3.222694325;9.05;0;2.5;6.463969002;10.29575108;0.115461135;0.295
